,Sys no.,Link,Title,Subject: 650 field only,Questions,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Best Bets
LA,1790727,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1790727",Oxford music online.,Music--Encyclopedias.;Music--Dictionaries.;Music--Bio-bibliography.;Opera--Dictionaries.;Aesthetics--Encyclopedias.,,Music,,,,,
LA,1804454,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1804454",Currents in World Christianity missionary periodicals database,Missionaries--Periodicals--Bibliography.;Christianity--Periodicals--Bibliography.,,Theology and Religion,,,,,
LA,1804652,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1804652",Latin American periodicals tables of contents,,,"Latin American, Iberian, and Latino Studies",,,,,
LA,1821600,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1821600",The Economist Intelligence Unit database access.,"World politics.;International economic relations.;International finance.;International business enterprises.;Investments, Foreign.",,Political Science,Global Affairs,Economics,Business,,
LA,1823211,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1823211",Left index,Communism--Periodicals--Indexes.;Socialism--Periodicals--Indexes.,,History,Political Science,,,,
LA,1826203,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1826203",Worldwide political science abstracts,Political science--Periodicals--Abstracts.,,Political Science,,,,,
LA,1828981,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1828981",Early English books online,"English newspapers--Databases.;Bibliography--Early printed books--Databases.;English imprints--Databases.;English literature--Early modern, 1500-1700--Databases.",,English Language and Literature,,,,,
LA,1829243,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1829243","Business insights, essentials /",Business--Databases.;Corporations--Finance--Databases.;Industries--Databases.,,Business,,,,,
LA,1830219,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1830219",Encyclopædia Britannica online,Encyclopedias and dictionaries.;English language--Dictionaries.,?,,,,,,
LA,1831261,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1831261",Early English Books Online Text Creation Partnership,"Bibliography--Early printed books;English imprints.;English literature--Early modern, 1500-1700.",,English Language and Literature,,,,,
LA,1832313,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1832313",Christian Classics Ethereal Library,Christian literature.,,Theology and Religion,,,,,
LA,1839507,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1839507",Twentieth century African-American poetry,American poetry--African American authors--Databases.;American literature--African American authors--Databases.;American poetry--Databases.,,English Language and Literature,Africana Studies,,,,
LA,1839559,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1839559",Twentieth-century American poetry,"American poetry--20th century.;Poets, American--20th century.",,English Language and Literature,,,,,
LA,1839561,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1839561",Twentieth century English poetry,"English poetry--20th century--Databases.;Poets, English--Databases.",,English Language and Literature,,,,,
LA,1839618,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1839618",African-American poetry,American poetry--African American authors.;American poetry--18th century.;American poetry--19th century.,,English Language and Literature,Africana Studies,,,,
LA,1839864,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1839864",American poetry,"American poetry--Colonial period, ca. 1600-1775.;American poetry--18th century.;American poetry--19th century.",,English Language and Literature,,,,,
LA,1839956,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1839956",Annual bibliography of English Language and Literature,English philology--Bibliography.;English literature--Bibliography.;English language--Bibliography.,,English Language and Literature,,,,,
LA,1839969,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1839969",Early American fiction 1789-1875,American fiction--18th century.;American fiction--19th century.,,English Language and Literature,,,,,
LA,1840626,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1840626",English drama,"English drama.;English prose literature.;Verse drama, English.",,English Language and Literature,,,,,
LA,1840627,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1840627","English poetry, second edition",English poetry--Databases.,,English Language and Literature,,,,,
LA,1840629,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1840629",Nineteenth-century fiction,English fiction--19th century--Databases.,,English Language and Literature,,,,,
LA,1840658,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1840658",American drama,American drama--20th century--Databases.,,English Language and Literature,,,,,
LA,1840669,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1840669",The Faber poetry library,English poetry--20th century--Databases.,,English Language and Literature,,,,,
